,Date,Weekday,Open,High,Low,Close,Adj Close,Volume
0,2010-01-02,Saturday,11208.0,11295.0,11208.0,11295.0,11295.2,60896653
1,2010-01-03,Sunday,11323.0,11366.0,11323.0,11351.0,11351.1,114461675
2,2010-01-04,Monday,11346.0,11346.0,11305.0,11305.0,11305.1,61449150
3,2010-01-05,Tuesday,11302.0,11326.0,11302.0,11307.0,11307.4,71811764
4,2010-01-06,Wednesday,11319.0,11375.0,11319.0,11375.0,11375.4,99254905
5,2010-01-09,Saturday,11380.0,11450.0,11380.0,11450.0,11449.6,429407966
6,2010-01-10,Sunday,11478.0,11593.0,11478.0,11592.0,11592.3,223412973
7,2010-01-11,Monday,11595.0,11659.0,11591.0,11657.0,11656.8,124379073
8,2010-01-12,Tuesday,11684.0,11685.0,11646.0,11646.0,11646.2,103456954
9,2010-01-13,Wednesday,11644.0,11644.0,11598.0,11600.0,11599.9,92521763
10,2010-01-16,Saturday,11602.0,11625.0,11602.0,11615.0,11614.9,98448731
11,2010-01-17,Sunday,11627.0,11640.0,11621.0,11621.0,11620.7,78153960
12,2010-01-18,Monday,11619.0,11619.0,11584.0,11584.0,11584.0,45248638
13,2010-01-19,Tuesday,11588.0,11588.0,11568.0,11569.0,11569.2,44018920
14,2010-01-20,Wednesday,11568.0,11573.0,11567.0,11569.0,11569.2,58259151
15,2010-01-23,Saturday,11570.0,11618.0,11570.0,11618.0,11617.8,73506264
16,2010-01-24,Sunday,11627.0,11686.0,11627.0,11685.0,11684.9,93333057
17,2010-01-25,Monday,11699.0,11721.0,11699.0,11705.0,11705.1,445619815
18,2010-01-26,Tuesday,11711.0,11769.0,11711.0,11752.0,11752.5,107587956
19,2010-01-27,Wednesday,11764.0,11810.0,11764.0,11803.0,11802.9,119204547
20,2010-01-30,Saturday,11776.0,11776.0,11736.0,11750.0,11750.1,112657334
21,2010-01-31,Sunday,11750.0,11751.0,11725.0,11725.0,11724.7,237608985
22,2010-02-01,Monday,11727.0,11730.0,11710.0,11710.0,11709.6,88697347
23,2010-02-02,Tuesday,11719.0,11724.0,11719.0,11721.0,11721.3,60425186
24,2010-02-03,Wednesday,11737.0,11763.0,11737.0,11752.0,11751.7,73980704
25,2010-02-06,Saturday,11752.0,11752.0,11716.0,11716.0,11715.5,73631665
26,2010-02-07,Sunday,11704.0,11708.0,11686.0,11686.0,11686.3,96447538
27,2010-02-08,Monday,11684.0,11684.0,11667.0,11667.0,11666.8,85408487
28,2010-02-09,Tuesday,11665.0,11669.0,11661.0,11661.0,11660.7,60620921
29,2010-02-10,Wednesday,11664.0,11695.0,11664.0,11694.0,11694.1,85678765
30,2010-02-14,Sunday,11696.0,11761.0,11696.0,11760.0,11760.0,83930214
31,2010-02-16,Tuesday,11786.0,11826.0,11783.0,11790.0,11789.7,117257984
32,2010-02-17,Wednesday,11788.0,11788.0,11774.0,11774.0,11774.2,108357032
33,2010-02-20,Saturday,11778.0,11822.0,11778.0,11819.0,11819.0,112804664
34,2010-02-21,Sunday,11834.0,11931.0,11834.0,11929.0,11929.0,112394672
35,2010-02-22,Monday,11950.0,12009.0,11950.0,12009.0,12008.6,245334910
36,2010-02-23,Tuesday,12028.0,12028.0,12010.0,12010.0,12010.2,164816248
37,2010-02-24,Wednesday,12005.0,12005.0,11992.0,11993.0,11993.2,99471983
38,2010-02-27,Saturday,11983.0,11983.0,11963.0,11964.0,11963.5,75002420
39,2010-02-28,Sunday,11978.0,12015.0,11978.0,12009.0,12009.0,89157986
40,2010-03-01,Monday,12019.0,12053.0,12019.0,12049.0,12048.9,77879058
41,2010-03-02,Tuesday,12071.0,12116.0,12071.0,12111.0,12111.1,120970786
42,2010-03-03,Wednesday,12131.0,12140.0,12126.0,12133.0,12133.4,90952002
43,2010-03-06,Saturday,12169.0,12223.0,12169.0,12221.0,12221.3,133647392
44,2010-03-07,Sunday,12250.0,12255.0,12243.0,12249.0,12248.9,122545567
45,2010-03-08,Monday,12266.0,12308.0,12266.0,12307.0,12307.2,120332765
